id,descripcion,grupo
A00,Cólera,A00-B99
A01,Fiebres tifoidea y paratifoidea,A00-B99
A02,Otras infecciones debidas a Salmonella,A00-B99
A03,Shigelosis,A00-B99
A04,Otras infecciones intestinales bacterianas,A00-B99
A05,Otras intoxicaciones alimentarias bacterianas,A00-B99
A06,Amebiasis,A00-B99
A07,Otras enfermedades intestinales debidas a protozoarios,A00-B99
A08,Infecciones intestinales debidas a virus y otros organismos especificados,A00-B99
A09,Diarrea y gastroenteritis de presunto origen infeccioso,A00-B99
A15,"Tuberculosis respiratoria, confirmada bacteriológica e histológicamente",A00-B99
A16,"Tuberculosis respiratoria, no confirmada bacteriológica o histológicamente",A00-B99
A17,Tuberculosis del sistema nervioso,A00-B99
A18,Tuberculosis de otros órganos,A00-B99
A19,Tuberculosis miliar,A00-B99
A20,Peste,A00-B99
A21,Tularemia,A00-B99
A22,Carbunco [ántrax],A00-B99
A23,Brucelosis,A00-B99
A24,Muermo y melioidosis,A00-B99
A25,Fiebres por mordedura de rata,A00-B99
A26,Erisipeloide,A00-B99
A27,Leptospirosis,A00-B99
A28,"Otras enfermedades zoonoticas bacterianas, no clasificadas en otra parte",A00-B99
A30,Lepra [enfermedad de Hansen],A00-B99
A31,Infecciones debidas a otras micobacterias,A00-B99
A32,Listeriosis,A00-B99
A33,Tétanos neonatal,A00-B99
A34,Tétanos obstétrico,A00-B99
A35,Otros tétanos,A00-B99
A36,Difteria,A00-B99
A37,Tos ferina [tos convulsiva],A00-B99
A38,Escarlatina,A00-B99
A39,Infección meningococica,A00-B99
A40,Septicemia estreptococica,A00-B99
A41,Otras septicemias,A00-B99
A42,Actinomicosis,A00-B99
A43,Nocardiosis,A00-B99
A44,Bartonelosis,A00-B99
A46,Erisipela,A00-B99
A48,"Otras enfermedades bacterianas, no clasificadas en otra parte",A00-B99
A49,Infección bacteriana de sitio no especificado,A00-B99
A50,Sifilis congénita,A00-B99
A51,Sífilis precoz,A00-B99
A52,Sifilis tardía,A00-B99
A53,Otras sífilis y las no especificadas,A00-B99
A54,Infección gonococica,A00-B99
A55,Linfogranuloma (venéreo) por clamidias,A00-B99
A56,Otras enfermedades de transmisión sexual debidas a clamidias,A00-B99
A57,Chancro blando,A00-B99
A58,Granuloma inguinal,A00-B99
A59,Tricomoniasis,A00-B99
A60,Infección anogenital debida a virus del herpes (herpes simple),A00-B99
A63,"Otras enfermedades de transmisión predominantemente sexual, no clasificadas en otra parte",A00-B99
A64,Enfermedad de transmisión sexual no especificada,A00-B99
A65,Sifilis no venérea,A00-B99
A66,Frambesia,A00-B99
A67,Pinta [carate],A00-B99
A68,Fiebres recurrentes,A00-B99
A69,Otras infecciones causadas por espiroquetas,A00-B99
A70,Infección debida a Chlamydia psittaci,A00-B99
A71,Tracoma,A00-B99
A74,Otras enfermedades causadas por clamidias,A00-B99
A75,Tifus,A00-B99
A77,Fiebre maculosa (rickettsiosis transmitida por garrapatas),A00-B99
A78,Fiebre Q,A00-B99
A79,Otras rickettsiosis,A00-B99
A80,Poliomielitis aguda,A00-B99
A81,Infecciones del sistema nervioso central por virus lento,A00-B99
A82,Rabia,A00-B99
A83,Encefalitis viral transmitida por mosquitos,A00-B99
A84,Encefalitis viral transmitida por garrapatas,A00-B99
A85,"Otras encefalitis virales, no clasificadas en otra parte",A00-B99
A86,"Encefalitis viral, no especificada",A00-B99
A87,Meningitis viral,A00-B99
A88,"Otras infecciones virales del sistema nervioso central, no clasificadas en otra parte",A00-B99
A89,"Infección viral del sistema nervioso central, no especificada",A00-B99
A90,Fiebre del dengue [dengue clásico],A00-B99
A91,Fiebre del dengue hemorrágico,A00-B99
A92,Otras fiebres virales transmitidas por mosquitos,A00-B99
A93,"Otras fiebres virales transmitidas por artrópodos, no clasificadas en otra parte",A00-B99
A94,"Fiebre viral transmitida por artrópodos, no especificada",A00-B99
A95,Fiebre amarilla,A00-B99
A96,Fiebre hemorrágica por arenavirus,A00-B99
A98,"Otras fiebres virales hemorrágicas, no clasificadas en otra parte",A00-B99
A99,"Fiebre viral hemorrágica, no especificada",A00-B99
B00,Infecciones herpéticas [herpes simple],A00-B99
B01,Varicela,A00-B99
B02,Herpes zoster,A00-B99
B03,Viruela,A00-B99
B04,Viruela de los monos,A00-B99
B05,Sarampión,A00-B99
B06,Rubeola [sarampión alemán],A00-B99
B07,Verrugas víricas,A00-B99
B08,"Otras infecciones víricas caracterizadas por lesiones de la piel y de las membranas mucosas, no clasificadas en otra parte",A00-B99
B09,"Infección viral no especificada, caracterizada por lesiones de la piel y de las membranas mucosas",A00-B99
B15,Hepatitis aguda tipo A,A00-B99
B16,Hepatitis aguda tipo B,A00-B99
B17,Otras hepatitis virales agudas,A00-B99
B18,Hepatitis viral crónica,A00-B99
B19,"Hepatitis viral, sin otra especificación",A00-B99
B20,"Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades infecciosas y parasitarias",A00-B99
B21,"Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en tumores malignos",A00-B99
B22,"Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en otras enfermedades especificadas",A00-B99
B23,"Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en otras afecciones",A00-B99
B24,"Enfermedad por virus de la inmunodeficiencia humana [VIH], sin otra especificación",A00-B99
B25,Enfermedad debida a virus citomegalico,A00-B99
B26,Parotiditis infecciosa,A00-B99
B27,Mononucleosis infecciosa,A00-B99
B30,Conjuntivitis viral,A00-B99
B33,"Otras enfermedades virales, no clasificadas en otra parte",A00-B99
B34,Infección viral de sitio no especificado,A00-B99
B35,Dermatofitosis,A00-B99
B36,Otras micosis superficiales,A00-B99
B37,Candidiasis,A00-B99
B38,Coccidioidomicosis,A00-B99
B39,Histoplasmosis,A00-B99
B40,Blastomicosis,A00-B99
B41,Paracoccidioidomicosis,A00-B99
B42,Esporotricosis,A00-B99
B43,Cromomicosis y absceso feomicotico,A00-B99
B44,Aspergilosis,A00-B99
B45,Criptococosis,A00-B99
B46,Cigomicosis,A00-B99
B47,Micetoma,A00-B99
B48,"Otras micosis, no clasificadas en otra parte",A00-B99
B49,"Micosis, no especificada",A00-B99
B50,Paludismo [malaria] debido a Plasmodium falciparum,A00-B99
B51,Paludismo [malaria] debido a Plasmodium vivax,A00-B99
